ID,ACTION,IS_DELETED
3103427,Client Visit,FALSE
3106108,Client Visit,FALSE
3112067,Client Visit,FALSE
3112977,Client Visit,FALSE
3115110,Client Visit,FALSE
3116556,Client Visit,FALSE
3118028,Client Visit,FALSE
3118871,Client Visit,FALSE
3118879,Client Visit,FALSE
3118888,Client Visit,FALSE
3119278,Client Visit,FALSE
3119319,Client Visit,FALSE
3119347,Client Visit,FALSE
3120900,Client Visit,FALSE
3120908,Client Visit,FALSE
3126352,Client Visit,FALSE
3128145,Client Visit,FALSE
3128247,Client Visit,FALSE
3131119,Client Visit,FALSE
3135400,Client Visit,FALSE
3136261,Client Visit,FALSE
3140263,Client Visit,FALSE
3140290,Client Visit,FALSE
3145506,Client Visit,FALSE
3146443,Client Visit,FALSE
3146492,Client Visit,FALSE
3146885,Client Visit,FALSE
3147215,Client Visit,FALSE
3147767,Client Visit,FALSE
